DateTime:,20220415_08:31:52

Total Dataset Length,Train Batch Divider,Train Batch Size,Eval Batch Size
40090,140.17482517482517,286,442
Control,Long 0,Long 1,Long 2,Short 3,Short 4,Short 5
win_size,260,230,200,140,120,100
stride,39,32,44,75,55,65
start_time,0,5,10,8,4,1

Time,Epoch #,Epoch Time,Train Accuracy,Train Cost
20220415_08:38:58,0,273.5810945034027,0.022377622233969826,573.1134238243103
20220415_08:57:02,10,108.01154494285583,0.09370629292513644,535.3513541221619
20220415_09:15:06,20,108.45286273956299,0.22190309454287802,438.71252727508545
20220415_09:33:12,30,108.82055807113647,0.33069430249077936,376.0530586242676
20220415_09:51:21,40,109.31753826141357,0.40566932622875485,341.1750843524933
20220415_10:09:38,50,109.21742033958435,0.46361138501337595,316.30372619628906
20220415_10:28:04,60,118.07998490333557,0.5051448519740785,301.4910794496536
20220415_10:46:26,70,109.71005702018738,0.5527722213949476,281.94013249874115
20220415_11:04:42,80,109.26944732666016,0.586638354403632,267.83134949207306
20220415_11:22:59,90,110.91192746162415,0.6171828074114664,257.95611691474915
20220415_11:43:51,100,124.24038982391357,0.6416083825486046,249.03618741035461
20220415_12:04:53,110,128.21013736724854,0.6633866046156202,240.8649994134903
20220415_12:24:10,120,111.18366241455078,0.6839660269873483,232.6706087589264
20220415_12:43:33,130,129.1990807056427,0.6980269666228975,228.48295855522156
20220415_13:04:21,140,124.0771210193634,0.711338655437742,220.90256905555725
20220415_13:25:47,150,127.11548852920532,0.7186313641922815,217.12534761428833
20220415_13:45:00,160,111.8054096698761,0.7350899023669106,210.9810984134674
20220415_14:03:31,170,110.92577004432678,0.7478771141597202,205.89732682704926
20220415_14:22:01,180,111.20749163627625,0.7551698224885123,202.21867775917053
20220415_14:40:31,190,111.23724341392517,0.771328661271504,196.84606647491455
20220415_14:59:18,200,110.49481201171875,0.7883866054671151,188.74949753284454
20220415_15:17:46,210,111.02946710586548,0.8075674223048347,181.29922449588776
20220415_15:36:16,220,111.23670864105225,0.8139110799346652,177.69862282276154
20220415_15:54:47,230,111.11176180839539,0.8169580327613013,177.5896211862564
20220415_16:13:17,240,111.20952486991882,0.8234515377453395,174.93269217014313
20220415_16:32:07,250,111.0660605430603,0.8312437444925308,172.48462164402008
20220415_16:50:45,260,110.86397981643677,0.8334165722131729,170.31566441059113
20220415_17:09:19,270,111.0110673904419,0.830894095982824,171.44943010807037
20220415_17:27:51,280,110.96270871162415,0.841983003275735,167.61220276355743
20220415_17:46:21,290,110.90998768806458,0.8440809079578945,166.6437520980835
20220415_18:05:09,300,111.11664009094238,0.8551698156765529,161.52042984962463
20220415_18:23:45,310,111.22019624710083,0.8758990896599633,152.6265503168106
20220415_18:42:38,320,116.27035331726074,0.881068918960435,150.43395620584488
20220415_19:03:20,330,119.95188641548157,0.8802447451012475,149.8687403202057
20220415_19:24:54,340,133.3955521583557,0.8870629263775689,147.3643940091133
20220415_19:46:43,350,127.03738451004028,0.8899850044931684,145.95103937387466
